Period,Dealer,New Vehicles,Parts,Service,Fixed Personnel Expenses,Other Operating Income / Expenses,Financial Result,Net Profit
Jan-19,"HSS, Bukit Tinggi",1200,50,300,-1500,100,-28,2000
Jan-19,"HSS, Jalan Ipoh",3000,-100,250,-1800,-218.9,421.2,1500
Jan-19,"HSS, Puchong South",1925.7,218.9,4913,-1563,3500,-1042,10000
Jan-19,"HSS, Setia Alam",1400,-300,200,-500,3542.5,1500,15000
Jan-19,"HSS, Kuala Lumpur",1300,500,100,-642,-800,-4510,9000
Jan-19,HSS Average,1350,150,50,-800,-621,5600,8000
Jan-19,"HSS, Kuching+ Sibu + Bintulu",5000,-150,-88,-145,-2360,2854,4500
Jan-19,"HSS, Kinrara",6500,-245,630,-1000,3600,2364,5400
Jan-19,"HSS, Melaka",7000,300,423,-2541,-980,5000,6300
Jan-19,"HSS, Belakong",2500,410,420,-369,852,-800,8000
Jan-19,"HSS, Miri",1000,-666,520,-258,1470,1200,8700
Jan-19,"HSS, Iskandar",4400,777,42,-147,-3654,1400,1000
Jan-19,"HSS, KK + Sandakan + Tawau",4312,888,900,-4875,2258,-1600,3200
Feb-19,"HSS, Bukit Tinggi",-666,2854,-980,-2578,2259,3500,5500.5
Feb-19,"HSS, Jalan Ipoh",777,2364,852,-1200,3000,3542.5,6410
Feb-19,"HSS, Puchong South",888,5000,1470,-355,3500,-800,8800
Feb-19,"HSS, Setia Alam",254.3,-800,-3654,-1500,-800,-621,8888
Feb-19,"HSS, Kuala Lumpur",2258,1200,2258,-2541,-450,-2360,14000
Feb-19,HSS Average,2259,1400,2259,-800,-369,3600,12000
Feb-19,"HSS, Kuching+ Sibu + Bintulu",3000,-1600,3000,-450,-258,-980,2258
Feb-19,"HSS, Kinrara",3500,3500,3500,-8215,-147,6500,2259
Feb-19,"HSS, Melaka",4913,4400,-800,-3650,4913,7000,3000
Feb-19,"HSS, Belakong",200,4312,-450,-4551,200,2500,3500
Feb-19,"HSS, Miri",100,-666,-369,-1563,100,1000,3542.5
